text,intent,split
listen to westbam alumb allergic on google music,PlayMusic,train
add step to me to the 50 clásicos playlist,AddToPlaylist,train
i give this current textbook a rating value of 1 and a best rating of 6,RateBook,train
play the song little robin redbreast,PlayMusic,train
please add iris dement to my playlist this is selena,AddToPlaylist,train
add slimm cutta calhoun to my this is prince playlist,AddToPlaylist,train
i want to listen to seventies music,PlayMusic,train
play a popular chant by brian epstein,PlayMusic,train
find fish story,SearchScreeningEvent,train
book a spot for 3 in mt,BookRestaurant,train
i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now,GetWeather,train
rate this series a 5,RateBook,train
give me a list of movie times for films in the area,SearchScreeningEvent,train
can you play me some eighties music by adele,PlayMusic,train
please let me know the weather forcast of stanislaus national forest far in nine months,GetWeather,train
book a restaurant for eight people in six years,BookRestaurant,train
i need to book a restaurant in fork mountain  sc for valarie  mari and i,BookRestaurant,train
add to playlist confidence boost here comes santa claus,AddToPlaylist,train
book a restaurant at sixteen o clock in sc,BookRestaurant,train
add another artist to the spotlight on country 2016 playlist,AddToPlaylist,train
find a movie house showing cage without a key,SearchScreeningEvent,train
add sugarolly days to my list  your favorite slaughterhouse,AddToPlaylist,train
show me the picture creatures of light and darkness,SearchCreativeWork,train
search for the adventures of cookie & cream,SearchCreativeWork,train
add this track to my global funk,AddToPlaylist,train
find animated movies nearest at a movie house,SearchScreeningEvent,train
play hell house song,SearchCreativeWork,train
give this novel 5 stars,RateBook,train
find me showtimes for animated movies in the neighbourhood,SearchScreeningEvent,train
find movie times,SearchScreeningEvent,train
play the top-20 best chicane songs on deezer,PlayMusic,train
i want to give this current textbook 4 points,RateBook,train
add manuelita to my indiespensables playlist,AddToPlaylist,train
show movie schedules for douglas theatre company,SearchScreeningEvent,train
i d like to see the show onion sportsdome,SearchCreativeWork,train
i d like to go to the popular bistro in oh,BookRestaurant,train
what s the weather in my current spot the day after tomorrow,GetWeather,train
play playlist the realest down south,PlayMusic,train
add this artist to gretchen s soul revived playlist,AddToPlaylist,train
find a video game called victory march,SearchCreativeWork,train
find a novel called industry,SearchCreativeWork,train
book a taverna that serves vichyssoise within walking distance in oh,BookRestaurant,train
let me see the movie schedule for seed of chucky,SearchScreeningEvent,train
play a chant by mj cole,PlayMusic,train
what is the weather like in the city of frewen in the country of venezuela,GetWeather,train
put this song on my playlist  in the name of blues,AddToPlaylist,train
will it be colder in ohio,GetWeather,train
rate this album a 1,RateBook,train
in the area find some films,SearchScreeningEvent,train
what times will the young swordsman be showing at a local cinema,SearchScreeningEvent,train
book a brasserie for one,BookRestaurant,train
play all of your toys by chris ledoux,PlayMusic,train
i want to hear a joel hastings melody,PlayMusic,train
i want to book a restaurant not far from our college,BookRestaurant,train
rate in stars as a 6 for lord of the shadows which gets a four,RateBook,train
add rak biszewilo to my playlist named jazz,AddToPlaylist,train
rate my current book 1 out of 6,RateBook,train
what is the weather not far from upper klamath national wildlife refuge,GetWeather,train
add falling upstairs to the playlist named chill out,AddToPlaylist,train
